"Num","Title","Type","Specialisations","Categories","Supervisor","Prerequisites","Summary","File"
"1","How Can Physiological Data Support the Self-Management of Stress?","Undergraduate","Software Engineering","Smart Phone & Tablet Applications","Craig Sutherland","Knowledge of programming and the willingness to learn how to program smart devices.","Over the past few years, there has been a general increase in people's stress and anxiety levels. Events like the COVID-19 lockdowns have caused an increase in people with chronic stress, while the shortage of medical workers has compounded the impact due as there is insufficient support for people....","1_How_Can_Physiological_Data_Support_the_SelfManagement_of_Stress.html"
"2","How Can Developers Collaboratively Work on Program Code?","Undergraduate","Software Engineering","Human Computer Interactions","Craig Sutherland","None","Software Engineering has moved from the domain of single programmers working on a codebase to teams developing together. The recent lockdowns and the rise of modern web-based tools have also changed how developers work together. Developers can now collaborate in real-time on a codebase, even on indi...","2_How_Can_Developers_Collaboratively_Work_on_Program_Code.html"
"3","How Can We Use Board Games to Teach Robot Ethics?","Undergraduate","Software Engineering","Games & Education Aids 1; Games & Education Aids 2","Craig Sutherland","A keen sense of fun and willingness to play boardgames.","Ethics is becoming increasingly important in society. But despite its importance, it can be a complex subject to teach. Students often have preconceived ideas and are not aware of the consequences of these views. Board games offer a fun, low-risk way to explore the consequences of our actions, they ...","3_How_Can_We_Use_Board_Games_to_Teach_Robot_Ethics.html"
"4","How Do Spatial Code Editors Help Programmers Understand Code?","Undergraduate","Software Engineering","Software Development Tools and Processes 1; Software Development Tools and Processes 2","Craig Sutherland","Knowledge of JavaScript and web-based programming.","Trying to understand a large, unknown computer codebase is a challenging task. Currently, developers use Integrated Development Environments (IDEs) to navigate through a codebase while trying to connect different parts of the system. While the tools in an IDE can help, they still rely on people bein...","4_How_Do_Spatial_Code_Editors_Help_Programmers_Understand_Code.html"
"5","Generative AI models for the inverse problem of electrocardiography","Undergraduate","Computer Systems Engineering; Software Engineering","AI & Machine learning","Avinash Malik","None","The inverse problem of electrocardiography essentially requires one to predict what is happening on the heart surface of a patient (called EGMs), given their body surface potentials (called ECGs). If a good prediction can be made, then cardiologists can use these predictions to easily and efficientl...","5_Generative_AI_models_for_the_inverse_problem_of_electrocardiography.html"
"6","AI for sentiment analysis of financial text and its application to trading","Undergraduate","Computer Systems Engineering; Software Engineering","AI & Machine learning","Avinash Malik","Should be interested in markets and statistics/ML learning.","It is well known that sentiments can move the stock markets. Discovering the price point for a given stock (or index) using financial text sentiment is a fundamental problem in finance.; The current state of the art sentiment analysis in finance is based on the standard frequency of words in the tex...","6_AI_for_sentiment_analysis_of_financial_text_and_its_application_to_trading.html"
"7","Can HLS effectively target small devices (FPGAs) for use in satellites?","Undergraduate","Computer Systems Engineering","Embedded Systems; Parallel & Cloud Computing","Avinash Malik","None","In the rapidly advancing field of satellite technology, the effective utilisation of High-Level Synthesis; (HLS) is critical. Our research seeks to investigate the feasibility and efficiency of employing HLS; techniques to target and optimise several small devices intended for use in satellites. Thi...","7_Can_HLS_effectively_target_small_devices_FPGAs_for_use_in_satellites.html"
"8","Photovoltaic MPPT and MPC control of Hybrid Energy Storage System in Microgrid System","Undergraduate","Electrical and Electronic Engineering","Green Energy Technologies; Power Systems","Abhisek Ukil","Both students preferably should have taken ELECTENG 731.; Students must consult the supervisor before bidding on the project.","The integration of Photovoltaic (PV) systems with Hybrid Energy Storage Systems (HESS) in Microgrid Systems is a critical area of research and development, particularly in the context of enhancing efficiency and reliability. Two significant control strategies used in this domain are Maximum Power Po...","8_Photovoltaic_MPPT_and_MPC_control_of_Hybrid_Energy_Storage_System_in_Microgrid_System.html"
"9","Reinforcement Learning based control of an Autonomous Formula SAE Car","Undergraduate","Software Engineering","AI & Machine learning; Robotics","Henry Williams","None","The Formula SAE competition is introducing an autonomous vehicle category to the control of the Formula SAE cars. To meet this challenge,, we seek to develop a fully autonomous control system that enables the car to learn to drive itself through Reinforcement Learning. Reinforcement Learning is a ma...","9_Reinforcement_Learning_based_control_of_an_Autonomous_Formula_SAE_Car.html"
"10","Reinforcement Learning Based Control for Robotic Grasping and Manipulation with a Robot Hand","Undergraduate","Software Engineering","AI & Machine learning; Robotics","Henry Williams","None","This project is seeking to develop a Reinforcement Learning (RL) based control system for the grasping of objects. RL is a part of Artificial Intelligence (AI) which seeks to enable robots to learn to perform tasks without human interaction or guidance autonomously. Through RL a robot learns to perf...","10_Reinforcement_Learning_Based_Control_for_Robotic_Grasping_and_Manipulation_with_a_Robot_Hand.html"
"11","AI Plays Pokémon - can AI become the very best like no one ever was","Undergraduate","Software Engineering","AI & Machine learning","Henry Williams","None","Pok&eacute;mon Blue (and its counterpart, Pok&eacute;mon Red) are excellent games to explore Reinforcement Learning. Reinforcement learning is a type of machine learning where an agent learns to make decisions by interacting with an environment. The agent receives feedback through rewards or penalti...","11_AI_Plays_Pokémon_can_AI_become_the_very_best_like_no_one_ever_was.html"
